date,usdprice,inflation_rate,moving_average
2020-01-15,0.9334380952380952,,0.9334380952380952
2020-02-15,0.8921331672203765,-0.044250313147100484,0.9127856312292358
2020-03-15,0.8486931818181818,-0.048692265906379095,0.8914214814255512
2020-04-15,0.8281739583333334,-0.02417743411215978,0.8563334357906305
2020-05-15,0.8507879166666666,0.027305807078072064,0.8425516856060606
2020-06-15,0.8536466666666667,0.003360120594096294,0.8442028472222223
2020-07-15,0.8419969565217391,-0.013646993070818736,0.8488105132850241
2020-08-15,0.8369074999999999,-0.006044507028580726,0.8441837077294686
2020-09-15,0.8387975,0.0022583140908642996,0.8392339855072463
2020-10-15,0.8354625,-0.003975929828117009,0.8370558333333333
2020-11-15,0.8360504545454546,0.0007037473799895722,0.8367701515151516
2020-12-15,0.8655172222222223,0.03524520262690167,0.8456767255892256
2021-01-15,0.878633423180593,0.015154176741503544,0.8600670333160899
2021-02-15,0.8871592261904762,0.009703481321050145,0.8771032905310973
2021-03-15,0.9141279424977538,0.03039895828292649,0.8933068639562743
2021-04-15,0.9026239361702127,-0.012584678569290353,0.9013037016194808
2021-05-15,0.8883511904761905,-0.015812505210731298,0.9017010230480523
2021-06-15,0.9290811320754717,0.04584891880141284,0.9066854195739583
2021-07-15,0.9541907407407407,0.02702628198807222,0.9238743544308009
2021-08-15,0.9731630081300813,0.01988309735075844,0.9521449603154313
2021-09-15,0.9597490384615385,-0.01378388775208128,0.9623675957774536
2021-10-15,0.9713766666666667,0.012115279869169937,0.9680962377527621
2021-11-15,0.9790748484848484,0.007925022375304236,0.9700668512043512
2021-12-15,0.8930296296296296,-0.08788420924955498,0.9478270482603816
2022-01-15,0.9393750000000001,0.05189678912399742,0.9371598260381594
2022-02-15,0.95175,0.013173652694610682,0.9280515432098766
2022-03-15,0.9617166666666666,0.010471937658698804,0.9509472222222222
2022-04-15,1.0388,0.08015181186420128,0.9840888888888889
2022-05-15,1.08774875,0.04712047554871024,1.0294218055555555
2022-06-15,1.02005,-0.062237488206720704,1.0488662499999999
2022-07-15,1.0249000000000001,0.004754668888780289,1.0442329166666668
2022-08-15,0.9401233333333333,-0.08271701304192292,0.9950244444444444
2022-09-15,0.9325355769230769,-0.00807102232358492,0.9658529700854701
2022-10-15,0.9346233333333334,0.002238795453944009,0.9357607478632479
2022-11-15,0.9458677083333333,0.012030916197969255,0.9376755395299146
2022-12-15,0.9698151162790698,0.02531792526032306,0.9501020526485787
2023-01-15,0.9724756756756757,0.0027433676295063325,0.9627195000960262
2023-02-15,0.9996622448979592,0.027956040343522393,0.9806510122842349
2023-03-15,0.8808710597826087,-0.11883132100030058,0.9510029934520813
2023-04-15,0.90675,0.02937880627361955,0.9290944348935226
2023-05-15,0.9927173913043479,0.0948082617086825,0.9267794836956522
2023-06-15,0.9182527777777778,-0.0750108884752485,0.9392400563607085
2023-07-15,0.9215500000000001,0.0035907565999437896,0.944173389694042
2023-08-15,0.98315,0.06684390429168241,0.9409842592592593
2023-09-15,0.9774030487804879,-0.005845447001487147,0.9607010162601627
2023-10-15,0.9727,-0.004811780346251182,0.9777510162601626
2023-11-15,0.985,0.012645214351804324,0.9783676829268293
2023-12-15,1.003657558139535,0.01894168339039104,0.9871191860465117
2024-01-15,0.88235,-0.12086548559889398,0.957002519379845
2024-02-15,1.0216108695652175,0.15782951160561853,0.9692061425682509
2024-03-15,1.0178173076923076,-0.003713313929915807,0.9739260590858416
2024-04-15,0.9734,-0.043639764579180396,1.0042760590858417
2024-05-15,0.9841521739130435,0.011045997445082723,0.9917898272017838
2024-06-15,0.9746622222222222,-0.00964276861076141,0.9774047987117553
2024-07-15,1.01385,0.04020652168956529,0.9908881320450886
2024-08-15,1.06775,0.05316368299058061,1.0187540740740741
2024-09-15,1.0725,0.004448606883633799,1.0513666666666666
2024-10-15,1.0599790697674418,-0.011674527023364245,1.066743023255814
2024-11-15,1.1355,0.07124756741576732,1.0893263565891473
2024-12-15,1.1254,-0.008894760017613357,1.1069596899224805
