date,usdprice,inflation_rate,moving_average
2020-01-15,0.7972875,,0.7972875
2020-02-15,0.7736999999999999,-0.029584685574526204,0.78549375
2020-03-15,0.765575,-0.010501486364223767,0.7788541666666666
2020-04-15,0.7539345238095237,-0.015204880240964336,0.7644031746031746
2020-05-15,0.7750055,0.02794801872715369,0.7648383412698413
2020-06-15,0.7880753799392097,0.01686424153016941,0.7723384679162445
2020-07-15,0.7951590314136125,0.008988545581704699,0.7860799704509408
2020-08-15,0.8000469696969698,0.006147120374986548,0.7944271270165973
2020-09-15,0.7879602160551313,-0.015107555055694388,0.7943887390552379
2020-10-15,0.7706999999999999,-0.021904933400754056,0.7862357285840337
2020-11-15,0.7977833333333333,0.03514121361532818,0.7854811831294882
2020-12-15,0.8100086443586444,0.015324099306801564,0.7928306592306592
2021-01-15,0.8225833333333332,0.015524141701778182,0.8101251036751037
2021-02-15,0.8234482142857144,0.0010514204668801153,0.8186800639925641
2021-03-15,0.8105648125,-0.015645673355293876,0.8188654533730159
2021-04-15,0.8011178992299555,-0.011654729053569124,0.81171030867189
2021-05-15,0.7938637998018356,-0.009054971103619747,0.8018488371772637
2021-06-15,0.8029655819774719,0.011465168430539796,0.799315760336421
2021-07-15,0.790318407960199,-0.015750580474603315,0.7957159299131688
2021-08-15,0.7906033665835411,0.00036056179442600644,0.7946291188404041
2021-09-15,0.7997830635118307,0.011611001567015888,0.7935682793518569
2021-10-15,0.8026040000000001,0.0035271270634098517,0.7976634766984573
2021-11-15,0.8029376089663761,0.00041565824039757615,0.8017748908260689
2021-12-15,0.7991356435643564,-0.004735069524161362,0.8015590841769109
2022-01-15,0.8023416798911811,0.004011880026430825,0.8014716441406379
2022-02-15,0.822995,0.025741302772180674,0.8081574411518458
2022-03-15,0.8133295833333334,-0.011744198526924987,0.8128887544081715
2022-04-15,0.8380374213836479,0.030378629471526697,0.8247873349056604
2022-05-15,0.8002048913266773,-0.04514420131085195,0.8171906320145528
2022-06-15,0.7900021052631578,-0.012750217068286163,0.8094148059911609
2022-07-15,0.77293125,-0.021608619963704223,0.7877127488632784
2022-08-15,0.7960215189873417,0.029873638809844616,0.7863182914168331
2022-09-15,0.7849406025377732,-0.013920372986480523,0.784631123841705
2022-10-15,0.7540233333333334,-0.03938803662911805,0.7783284849528161
2022-11-15,0.7783075,0.03220612094232278,0.7724238119570356
2022-12-15,0.7991206896551725,0.02674160232963496,0.7771505076628352
2023-01-15,0.7949134502923976,-0.005264835984399752,0.7907805466491901
2023-02-15,0.8081208860759493,0.016614935599207126,0.8007183420078398
2023-03-15,0.8085823529411765,0.0005710369242750701,0.8038722297698412
2023-04-15,0.8237606896551725,0.01877154090586508,0.8134879762240995
2023-05-15,0.8337749999999999,0.012156819899987514,0.8220393475321163
2023-06-15,0.8466613122171947,0.015455383307480641,0.8347323339574557
2023-07-15,0.8441686234817813,-0.0029441391728241006,0.8415349785663254
2023-08-15,0.8668210302371899,0.026833983312455345,0.8525503219787219
2023-09-15,0.895784090909091,0.03341296491615564,0.8689245815426875
2023-10-15,0.8984315359477124,0.0029554499409949475,0.8870122190313311
2023-11-15,0.9049569143446852,0.007263078082059282,0.8997241804004962
2023-12-15,0.91638,0.012622795046089763,0.9065894834307991
2024-01-15,0.9137666666666666,-0.002851800926835346,0.9117011936704505
2024-02-15,0.9018411971830986,-0.013050891347427873,0.910662621283255
2024-03-15,0.9431692073170732,0.045826261056894024,0.9195923570556128
2024-04-15,0.9466590543909872,0.0037001282981250494,0.930556486297053
2024-05-15,0.9477595238095238,0.0011624770432736575,0.9458625951725281
2024-06-15,0.9966058823529411,0.051538768343977415,0.963674820184484
2024-07-15,1.0163557575757576,0.019817136916940425,0.9869070545794075
2024-08-15,1.075625,0.05831544907623032,1.029528879976233
2024-09-15,1.0431396464646467,-0.030201374582548124,1.0450401346801348
2024-10-15,1.0143900000000001,-0.02756068812271051,1.0443848821548822
2024-11-15,0.8918571428571429,-0.12079462252472639,0.98312892977393
2024-12-15,0.9263012578616353,0.03862066394865393,0.9441828002395928
